번호,클래스,이름,텍스트,선택지,결과1 텍스트,결과,결과2 텍스트,결과
1,환경,가뭄,"너무 오랫동안 비가 오지 않자, 들판은 물론 숲 속의 작은 샘까지 말라가기 시작했습니다! 농부들은 울고 있고, 사람들은 왕을 향해 화를 내고 있습니다. 이제는 먹을 물까지 걱정해야할 판입니다...",기우제를 지낸다.,헛된 노력이었습니다.,재산 --,비가 오기 시작합니다!,사회적 지위+
,,,,새로운 우물을 찾아 파본다.,헛된 노력이었습니다.,재산 -,우물을 찾아냈습니다!,사회적 지위++
,,,,가족들을 달래며 힘든 시기를 견뎌본다.,병에 걸리고 말았습니다.,건강: 질병,비가 오기 시작합니다!,가족+
2,환경,청명,"모든것이 완벽한 평온한 날씨가 며칠씩 계속 되고 있습니다. 곡식과 열매들은 탐스럽게 익어 가고, 가축들은 평화롭게 풀을 뜯습니다. 따듯한 햇살과 기분좋게 불어오는 바람에 누구라도 걱정을 내려놓고 마음을 열 수 밖에 없을 것입니다. ",좋은 날이 있으면 궂은 날이 있는 법. 미래를 대비한다.,미래의 힘든 시기에 대비할 수 있었습니다,재산+,모든 것을 모아놓았지만 필요하지 않았습니다,사회적 지위 -
,,,,가족들과 소풍을 떠난다.,가족 관계가 더욱 좋아졌습니다,가족+,소풍 중에 불상사가 발생했습니다,부상
,,,,악상이 떠오른다. 노래를 만든다.,동네에서 노래가 유행했습니다.,사회적 지위+,노래가 사회적 파장을 일으켜 벌금을 냈습니다.,재산 -
3,환경,산불,산등성이 너머에서 연기가 피어오른 뒤 불길이 보이기 시작했습니다. 불길은 며칠째 빠르게 퍼져 나가며 숲과 마을을 위협하고 있습니다. 사람들은 신을 원망하며 물과 기도로 불을 끄려고 애쓰고 있습니다.,며칠간 건너 마을 친척집으로 대피한다.,돌아와 보니 집이 대부분 타버렸습니다.,재산 --,집은 무사합니다.,
,,,,사람들을 모아 불을 끈다.,성공적으로 진화,사회적 지위+,불을 끄다 화상을 입었습니다.,부상
,,,,신에게 기도한다.,불이 꺼집니다.,신앙+,,
4,환경,지진,"갑자기 땅이 흔들리기 시작했고, 그로 인해 건물들이 무너지고 도로가 깨어지기 시작했습니다. 지진은 짧았지만 그 후유증은 크며, 사람들은 그 원인을 신의 분노로 믿고 있습니다.",사람들을 구조한다.,,,,
,,,,집안에 안전하게 숨어있는다.,,,,
,,,,이틈에 이웃의 물건을 훔친다.,,,,
5,환경,태풍,"바다에서 온 거대한 태풍이 땅을 향해 다가오고 있습니다. 바람과 물결은 모든 것을 삼키려 하고, 사람들은 집과 농작물을 지키기 위해 발버둥치고 있습니다.",집 안팎을 살피며 대비한다.,,,,
,,,,집을 버리고 가족과 함께 높은 곳으로 이동한다.,,,,
,,,,비바람의 신을 경배한다.,,,,
6,환경,유성우,"밤하늘을 수놓는 유성우가 나타났습니다. 이는 복이 올 것이라고 믿는 사람들이 많지만, 일부는 이것을 나쁜 징조라고 생각합니다.",부자가 되게 해달라는 소원을 빈다.,,,,
,,,,건강하게 해달라는 소원을 빈다.,,,,
,,,,불길한 징조이니 몸과 마음을 정결히 한다.,,,,
7,환경,풍년,"올해는 비도 잘 와주고, 해도 적당히 뜨면서 농작물이 풍성하게 자랐습니다. 사람들은 이를 신의 축복이라고 믿고 감사의 의식을 올리고 있습니다.",힘든줄 모르고 열심히 수확한다.,,,,
,,,,마을 축제에 많은 공물을 올린다.,,,,
,,,,먹고 마시고 노래한다.,,,,
8,환경,일식,"태양이 갑자기 사라져 어둠이 밀려왔습니다. 이는 일시적인 현상이지만, 사람들은 이것을 신의 경고로 받아들이고 있습니다.",집안에 숨는다.,,,,
,,,,일식을 관측하며 신의 경고를 듣는다.,,,,
,,,,일식을 해석하는 신전의 모임에 나간다.,,,,
9,환경,메뚜기 떼,"메뚜기 떼가 마을을 덮쳐 곧 수확을 앞두었던 농작물들을 먹어 치웠습니다. 갑작스러운 재앙에 혼란스러워하던 사람들은, 앞으로 힘든 시간이 되리라는 것을 직감합니다.",마을사람들과 함께 메뚜기를 쫓아낸다.,,,,
,,,,남은 농작물이라도 찾아 보관한다.,,,,
,,,,먼 이웃 마을에 식량을 구하러 떠난다.,,,,
10,환경,역병 창궐,"마을 사람들이 병으로 하나 둘 쓰러지기 시작했습니다. 처음보는 열병은 치료도 잘 되지 않고, 환자를 돌보는 사람들에게 번져 환자가 급속도로 늘어납니다. 사람들은 이 재앙이 왜 찾아왔는지, 어떻게 대처해야 할지에 대해 깊은 고민과 두려움에 빠져 있습니다.",의사를 찾아 떠난다.,,,,
